Media Movel
Abertura; Desvio Padrao; Fechamento; Desvio Padrao; Alta; Desvio Padrao; Baixa; Desvio Padrao;
0,63151;0,00194;0,63164;0,00137;0,63152;0,00237;0,63158;0,00274;
0,63173;0,00194;0,63187;0,00137;0,63176;0,00237;0,63180;0,00274;
0,63189;0,00194;0,63209;0,00137;0,63199;0,00237;0,63195;0,00274;
0,63210;0,00194;0,63229;0,00137;0,63220;0,00237;0,63216;0,00274;
0,63223;0,00194;0,63245;0,00137;0,63236;0,00237;0,63229;0,00274;
0,63242;0,00194;0,63261;0,00137;0,63255;0,00237;0,63246;0,00274;
0,63259;0,00194;0,63277;0,00137;0,63274;0,00237;0,63262;0,00274;
0,63276;0,00194;0,63292;0,00137;0,63289;0,00237;0,63277;0,00274;
0,63291;0,00194;0,63303;0,00137;0,63303;0,00237;0,63290;0,00274;
0,63305;0,00194;0,63316;0,00137;0,63316;0,00237;0,63304;0,00274;
0,63317;0,00194;0,63328;0,00137;0,63328;0,00237;0,63315;0,00274;
0,63329;0,00194;0,63338;0,00137;0,63338;0,00237;0,63327;0,00274;
0,63338;0,00194;0,63347;0,00137;0,63348;0,00237;0,63336;0,00274;
0,63345;0,00194;0,63354;0,00137;0,63354;0,00237;0,63344;0,00274;
0,63353;0,00194;0,63361;0,00137;0,63361;0,00237;0,63351;0,00274;
0,63360;0,00194;0,63367;0,00137;0,63368;0,00237;0,63358;0,00274;
0,63366;0,00194;0,63373;0,00137;0,63374;0,00237;0,63364;0,00274;
0,63372;0,00194;0,63378;0,00137;0,63380;0,00237;0,63370;0,00274;
0,63377;0,00194;0,63383;0,00137;0,63384;0,00237;0,63376;0,00274;
0,63382;0,00194;0,63387;0,00137;0,63388;0,00237;0,63380;0,00274;
0,63386;0,00194;0,63390;0,00137;0,63392;0,00237;0,63384;0,00274;
0,63390;0,00194;0,63394;0,00137;0,63395;0,00237;0,63388;0,00274;
0,63393;0,00194;0,63397;0,00137;0,63398;0,00237;0,63391;0,00274;
0,63396;0,00194;0,63400;0,00137;0,63402;0,00237;0,63395;0,00274;
0,63398;0,00194;0,63401;0,00137;0,63403;0,00237;0,63396;0,00274;
0,63401;0,00194;0,63403;0,00137;0,63405;0,00237;0,63398;0,00274;
0,63403;0,00194;0,63405;0,00137;0,63407;0,00237;0,63401;0,00274;
0,63405;0,00194;0,63407;0,00137;0,63409;0,00237;0,63403;0,00274;
0,63407;0,00194;0,63409;0,00137;0,63411;0,00237;0,63404;0,00274;
0,63408;0,00194;0,63411;0,00137;0,63413;0,00237;0,63406;0,00274;
0,63411;0,00194;0,63413;0,00137;0,63416;0,00237;0,63408;0,00274;
0,63414;0,00194;0,63414;0,00137;0,63418;0,00237;0,63410;0,00274;
0,63416;0,00194;0,63415;0,00137;0,63419;0,00237;0,63411;0,00274;
0,63416;0,00194;0,63416;0,00137;0,63419;0,00237;0,63412;0,00274;
0,63417;0,00194;0,63416;0,00137;0,63421;0,00237;0,63413;0,00274;
0,63419;0,00194;0,63417;0,00137;0,63423;0,00237;0,63413;0,00274;
0,63419;0,00194;0,63417;0,00137;0,63424;0,00237;0,63414;0,00274;
0,63419;0,00194;0,63418;0,00137;0,63424;0,00237;0,63415;0,00274;
0,63419;0,00194;0,63418;0,00137;0,63424;0,00237;0,63415;0,00274;
0,63419;0,00194;0,63419;0,00137;0,63424;0,00237;0,63415;0,00274;
0,63420;0,00194;0,63418;0,00137;0,63424;0,00237;0,63415;0,00274;
