Media Movel
Abertura; Desvio Padrao; Fechamento; Desvio Padrao; Alta; Desvio Padrao; Baixa; Desvio Padrao;
0,63156;0,00194;0,63184;0,00137;0,63157;0,00237;0,63165;0,00274;
0,63165;0,00194;0,63192;0,00137;0,63167;0,00237;0,63173;0,00274;
0,63172;0,00194;0,63201;0,00137;0,63177;0,00237;0,63180;0,00274;
0,63181;0,00194;0,63210;0,00137;0,63186;0,00237;0,63189;0,00274;
0,63188;0,00194;0,63217;0,00137;0,63194;0,00237;0,63195;0,00274;
0,63197;0,00194;0,63225;0,00137;0,63204;0,00237;0,63204;0,00274;
0,63206;0,00194;0,63233;0,00137;0,63214;0,00237;0,63212;0,00274;
0,63215;0,00194;0,63241;0,00137;0,63222;0,00237;0,63220;0,00274;
0,63223;0,00194;0,63247;0,00137;0,63230;0,00237;0,63228;0,00274;
0,63232;0,00194;0,63255;0,00137;0,63239;0,00237;0,63236;0,00274;
0,63240;0,00194;0,63262;0,00137;0,63247;0,00237;0,63243;0,00274;
0,63247;0,00194;0,63269;0,00137;0,63254;0,00237;0,63251;0,00274;
0,63254;0,00194;0,63275;0,00137;0,63261;0,00237;0,63258;0,00274;
0,63261;0,00194;0,63281;0,00137;0,63267;0,00237;0,63264;0,00274;
0,63267;0,00194;0,63287;0,00137;0,63274;0,00237;0,63270;0,00274;
0,63273;0,00194;0,63292;0,00137;0,63280;0,00237;0,63276;0,00274;
0,63279;0,00194;0,63298;0,00137;0,63286;0,00237;0,63282;0,00274;
0,63285;0,00194;0,63303;0,00137;0,63292;0,00237;0,63288;0,00274;
0,63291;0,00194;0,63308;0,00137;0,63297;0,00237;0,63293;0,00274;
0,63296;0,00194;0,63312;0,00137;0,63302;0,00237;0,63298;0,00274;
0,63301;0,00194;0,63316;0,00137;0,63307;0,00237;0,63303;0,00274;
0,63306;0,00194;0,63321;0,00137;0,63311;0,00237;0,63308;0,00274;
0,63311;0,00194;0,63325;0,00137;0,63316;0,00237;0,63312;0,00274;
0,63315;0,00194;0,63329;0,00137;0,63321;0,00237;0,63317;0,00274;
0,63319;0,00194;0,63332;0,00137;0,63324;0,00237;0,63321;0,00274;
0,63323;0,00194;0,63336;0,00137;0,63328;0,00237;0,63324;0,00274;
0,63327;0,00194;0,63339;0,00137;0,63332;0,00237;0,63328;0,00274;
0,63331;0,00194;0,63343;0,00137;0,63336;0,00237;0,63332;0,00274;
0,63335;0,00194;0,63346;0,00137;0,63339;0,00237;0,63335;0,00274;
0,63338;0,00194;0,63349;0,00137;0,63343;0,00237;0,63339;0,00274;
0,63342;0,00194;0,63352;0,00137;0,63347;0,00237;0,63342;0,00274;
0,63346;0,00194;0,63355;0,00137;0,63351;0,00237;0,63346;0,00274;
0,63349;0,00194;0,63358;0,00137;0,63354;0,00237;0,63349;0,00274;
0,63352;0,00194;0,63361;0,00137;0,63357;0,00237;0,63351;0,00274;
0,63355;0,00194;0,63363;0,00137;0,63360;0,00237;0,63354;0,00274;
0,63358;0,00194;0,63365;0,00137;0,63363;0,00237;0,63357;0,00274;
0,63360;0,00194;0,63367;0,00137;0,63366;0,00237;0,63359;0,00274;
0,63363;0,00194;0,63370;0,00137;0,63368;0,00237;0,63361;0,00274;
0,63365;0,00194;0,63372;0,00137;0,63370;0,00237;0,63364;0,00274;
0,63367;0,00194;0,63374;0,00137;0,63372;0,00237;0,63366;0,00274;
0,63369;0,00194;0,63375;0,00137;0,63374;0,00237;0,63368;0,00274;
0,63371;0,00194;0,63377;0,00137;0,63376;0,00237;0,63370;0,00274;
0,63374;0,00194;0,63379;0,00137;0,63379;0,00237;0,63372;0,00274;
0,63376;0,00194;0,63381;0,00137;0,63381;0,00237;0,63373;0,00274;
0,63378;0,00194;0,63383;0,00137;0,63383;0,00237;0,63375;0,00274;
0,63379;0,00194;0,63384;0,00137;0,63384;0,00237;0,63377;0,00274;
0,63381;0,00194;0,63386;0,00137;0,63387;0,00237;0,63379;0,00274;
0,63384;0,00194;0,63388;0,00137;0,63389;0,00237;0,63381;0,00274;
0,63386;0,00194;0,63389;0,00137;0,63391;0,00237;0,63382;0,00274;
0,63388;0,00194;0,63391;0,00137;0,63392;0,00237;0,63384;0,00274;
0,63389;0,00194;0,63393;0,00137;0,63394;0,00237;0,63385;0,00274;
0,63391;0,00194;0,63394;0,00137;0,63396;0,00237;0,63387;0,00274;
0,63392;0,00194;0,63396;0,00137;0,63397;0,00237;0,63389;0,00274;
0,63394;0,00194;0,63397;0,00137;0,63398;0,00237;0,63389;0,00274;
0,63395;0,00194;0,63398;0,00137;0,63401;0,00237;0,63391;0,00274;
0,63396;0,00194;0,63399;0,00137;0,63402;0,00237;0,63392;0,00274;
0,63398;0,00194;0,63401;0,00137;0,63404;0,00237;0,63394;0,00274;
0,63401;0,00194;0,63403;0,00137;0,63406;0,00237;0,63396;0,00274;
0,63402;0,00194;0,63405;0,00137;0,63408;0,00237;0,63398;0,00274;
0,63404;0,00194;0,63406;0,00137;0,63410;0,00237;0,63400;0,00274;
0,63405;0,00194;0,63407;0,00137;0,63411;0,00237;0,63401;0,00274;
0,63407;0,00194;0,63409;0,00137;0,63413;0,00237;0,63403;0,00274;
0,63408;0,00194;0,63411;0,00137;0,63414;0,00237;0,63404;0,00274;
0,63410;0,00194;0,63412;0,00137;0,63416;0,00237;0,63406;0,00274;
0,63411;0,00194;0,63413;0,00137;0,63416;0,00237;0,63407;0,00274;
0,63412;0,00194;0,63414;0,00137;0,63418;0,00237;0,63409;0,00274;
0,63414;0,00194;0,63416;0,00137;0,63419;0,00237;0,63410;0,00274;
0,63416;0,00194;0,63418;0,00137;0,63421;0,00237;0,63412;0,00274;
0,63417;0,00194;0,63419;0,00137;0,63423;0,00237;0,63414;0,00274;
0,63419;0,00194;0,63421;0,00137;0,63424;0,00237;0,63415;0,00274;
0,63420;0,00194;0,63421;0,00137;0,63425;0,00237;0,63416;0,00274;
0,63421;0,00194;0,63422;0,00137;0,63426;0,00237;0,63416;0,00274;
