<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	00:00:00	0.63424	0.63424	0.63411	0.63412	4	0	68
2022.08.17	00:01:00	0.63388	0.63405	0.63388	0.63405	3	0	78
2022.08.17	00:02:00	0.63335	0.63415	0.63335	0.63415	6	0	44
2022.08.17	00:03:00	0.63415	0.63415	0.63415	0.63415	1	0	64
2022.08.17	00:04:00	0.63349	0.63395	0.63349	0.63395	2	0	117
2022.08.17	00:06:00	0.63415	0.63429	0.63414	0.63414	3	0	64
2022.08.17	00:07:00	0.63429	0.63457	0.63415	0.63433	13	0	38
2022.08.17	00:08:00	0.63431	0.63432	0.63419	0.63432	5	0	60
2022.08.17	00:09:00	0.63432	0.63432	0.63413	0.63413	3	0	63
2022.08.17	00:11:00	0.63440	0.63441	0.63432	0.63441	10	0	41
2022.08.17	00:12:00	0.63436	0.63441	0.63427	0.63438	7	0	43
2022.08.17	00:13:00	0.63437	0.63437	0.63437	0.63437	1	0	41
2022.08.17	00:14:00	0.63423	0.63439	0.63423	0.63433	9	0	41
2022.08.17	00:15:00	0.63418	0.63418	0.63418	0.63418	1	0	70
2022.08.17	00:16:00	0.63422	0.63425	0.63422	0.63425	2	0	61
2022.08.17	00:17:00	0.63425	0.63432	0.63425	0.63425	3	0	50
2022.08.17	00:18:00	0.63425	0.63434	0.63422	0.63434	17	0	50
2022.08.17	00:19:00	0.63433	0.63433	0.63426	0.63426	2	0	50
2022.08.17	00:20:00	0.63426	0.63426	0.63426	0.63426	1	0	50
2022.08.17	00:21:00	0.63426	0.63426	0.63426	0.63426	1	0	50
2022.08.17	00:22:00	0.63426	0.63426	0.63422	0.63422	2	0	50
2022.08.17	00:23:00	0.63426	0.63426	0.63422	0.63426	7	0	50
2022.08.17	00:24:00	0.63425	0.63430	0.63425	0.63430	3	0	50
2022.08.17	00:25:00	0.63424	0.63432	0.63424	0.63426	18	0	50
2022.08.17	00:26:00	0.63414	0.63417	0.63414	0.63416	5	0	67
2022.08.17	00:28:00	0.63426	0.63426	0.63416	0.63416	2	0	50
2022.08.17	00:30:00	0.63422	0.63423	0.63422	0.63423	2	0	51
2022.08.17	00:31:00	0.63431	0.63432	0.63423	0.63432	3	0	41
