<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	00:00:00	0.94902	0.94923	0.94895	0.94923	4	0	62
2022.08.17	00:01:00	0.94904	0.94904	0.94856	0.94877	4	0	98
2022.08.17	00:03:00	0.94939	0.94939	0.94923	0.94923	2	0	62
2022.08.17	00:04:00	0.94981	0.94981	0.94939	0.94939	4	0	89
2022.08.17	00:05:00	0.94985	0.94985	0.94903	0.94903	3	0	75
2022.08.17	00:06:00	0.94903	0.94903	0.94903	0.94903	1	0	64
2022.08.17	00:07:00	0.94903	0.94936	0.94903	0.94936	2	0	64
2022.08.17	00:09:00	0.94935	0.94939	0.94935	0.94939	6	0	89
2022.08.17	00:10:00	0.94935	0.94936	0.94903	0.94904	6	0	60
2022.08.17	00:11:00	0.94933	0.94933	0.94933	0.94933	1	0	89
2022.08.17	00:12:00	0.94933	0.94933	0.94933	0.94933	1	0	89
2022.08.17	00:13:00	0.94904	0.94933	0.94904	0.94933	2	0	60
2022.08.17	00:14:00	0.94933	0.94933	0.94933	0.94933	1	0	89
2022.08.17	00:15:00	0.94933	0.94939	0.94933	0.94939	2	0	89
2022.08.17	00:16:00	0.94939	0.94939	0.94904	0.94939	9	0	60
2022.08.17	00:17:00	0.94939	0.94939	0.94939	0.94939	1	0	89
2022.08.17	00:18:00	0.94939	0.94939	0.94906	0.94939	4	0	64
2022.08.17	00:19:00	0.94939	0.94947	0.94904	0.94939	4	0	63
2022.08.17	00:20:00	0.94889	0.94927	0.94876	0.94877	14	0	74
2022.08.17	00:21:00	0.94876	0.94877	0.94876	0.94876	5	0	89
2022.08.17	00:22:00	0.94876	0.94901	0.94876	0.94900	3	0	89
2022.08.17	00:23:00	0.94847	0.94848	0.94845	0.94847	44	0	228
2022.08.17	00:24:00	0.94900	0.94900	0.94900	0.94900	1	0	89
2022.08.17	00:25:00	0.94900	0.94900	0.94877	0.94900	5	0	89
2022.08.17	00:26:00	0.94900	0.94900	0.94876	0.94898	3	0	89
