<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2022.08.17	11:00:00.070	134.794	134.794			6
2022.08.17	11:00:00.171	134.796	134.796			6
2022.08.17	11:00:00.375	134.797	134.797			6
2022.08.17	11:00:00.649	134.798	134.798			6
2022.08.17	11:00:00.722	134.799	134.799			6
2022.08.17	11:00:00.836	134.800	134.800			6
2022.08.17	11:00:00.916	134.799	134.799			6
2022.08.17	11:00:01.022	134.800	134.800			6
2022.08.17	11:00:01.121	134.799	134.799			6
2022.08.17	11:00:01.229	134.800	134.800			6
2022.08.17	11:00:01.350	134.799	134.799			6
2022.08.17	11:00:01.876	134.798	134.798			6
2022.08.17	11:00:01.977	134.800	134.800			6
2022.08.17	11:00:02.535	134.798	134.798			6
2022.08.17	11:00:02.833	134.797	134.797			6
2022.08.17	11:00:02.940	134.798	134.798			6
2022.08.17	11:00:03.059	134.799	134.799			6
2022.08.17	11:00:03.175	134.800	134.800			6
2022.08.17	11:00:03.386	134.798	134.798			6
2022.08.17	11:00:03.482	134.799	134.799			6
2022.08.17	11:00:03.677	134.798	134.798			6
2022.08.17	11:00:05.620	134.802	134.802			6
2022.08.17	11:00:05.839	134.803	134.803			6
2022.08.17	11:00:06.143	134.802	134.802			6
2022.08.17	11:00:06.384	134.803	134.803			6
2022.08.17	11:00:06.590	134.802	134.802			6
2022.08.17	11:00:06.695	134.805	134.811			6
2022.08.17	11:00:06.800	134.811				2
2022.08.17	11:00:06.894	134.816	134.816			6
2022.08.17	11:00:07.096	134.815	134.815			6
2022.08.17	11:00:07.199	134.814	134.814			6
2022.08.17	11:00:07.326	134.817	134.817			6
2022.08.17	11:00:07.450	134.820	134.820			6
2022.08.17	11:00:07.543	134.821	134.821			6
2022.08.17	11:00:07.642	134.820	134.820			6
2022.08.17	11:00:07.946	134.821	134.821			6
2022.08.17	11:00:08.054	134.826	134.826			6
2022.08.17	11:00:08.181	134.824	134.824			6
2022.08.17	11:00:08.301	134.826	134.826			6
2022.08.17	11:00:08.400	134.827	134.827			6
2022.08.17	11:00:08.502	134.828	134.828			6
2022.08.17	11:00:08.626	134.830	134.830			6
2022.08.17	11:00:08.737	134.838	134.838			6
2022.08.17	11:00:08.926	134.837	134.837			6
2022.08.17	11:00:09.155	134.840	134.840			6
2022.08.17	11:00:09.252	134.842	134.842			6
2022.08.17	11:00:09.354	134.844	134.844			6
2022.08.17	11:00:09.451	134.843	134.843			6
2022.08.17	11:00:09.763	134.846	134.846			6
2022.08.17	11:00:09.889	134.852	134.852			6
2022.08.17	11:00:10.010	134.855	134.855			6
2022.08.17	11:00:10.119	134.856	134.856			6
2022.08.17	11:00:10.213	134.860	134.860			6
2022.08.17	11:00:10.411	134.861	134.861			6
2022.08.17	11:00:10.509	134.863	134.863			6
2022.08.17	11:00:10.621	134.867	134.867			6
2022.08.17	11:00:10.865	134.868	134.868			6
2022.08.17	11:00:10.958	134.869	134.869			6
2022.08.17	11:00:11.066	134.867	134.867			6
2022.08.17	11:00:11.363	134.864	134.864			6
2022.08.17	11:00:11.471	134.868	134.868			6
2022.08.17	11:00:11.594	134.866	134.866			6
2022.08.17	11:00:11.710	134.867	134.867			6
2022.08.17	11:00:11.811	134.865	134.865			6
2022.08.17	11:00:11.916	134.868	134.868			6
2022.08.17	11:00:12.014	134.865	134.865			6
2022.08.17	11:00:12.116	134.867	134.867			6
2022.08.17	11:00:12.210	134.863	134.863			6
2022.08.17	11:00:12.665	134.862	134.862			6
2022.08.17	11:00:12.767	134.861	134.861			6
2022.08.17	11:00:12.960	134.860	134.860			6
2022.08.17	11:00:13.062	134.861	134.861			6
2022.08.17	11:00:14.039	134.862	134.862			6
2022.08.17	11:00:14.278	134.863	134.863			6
2022.08.17	11:00:14.377	134.867	134.867			6
2022.08.17	11:00:14.479	134.865	134.865			6
2022.08.17	11:00:14.584	134.866	134.866			6
2022.08.17	11:00:14.673	134.865	134.865			6
2022.08.17	11:00:14.785	134.863	134.863			6
2022.08.17	11:00:14.880	134.862	134.862			6
2022.08.17	11:00:15.333	134.863	134.863			6
2022.08.17	11:00:15.861	134.862	134.862			6
2022.08.17	11:00:15.987	134.863	134.863			6
2022.08.17	11:00:16.180	134.862	134.862			6
2022.08.17	11:00:16.283	134.863	134.863			6
2022.08.17	11:00:16.494	134.865	134.865			6
2022.08.17	11:00:16.594	134.863	134.863			6
2022.08.17	11:00:16.715	134.865	134.865			6
2022.08.17	11:00:16.833	134.864	134.864			6
2022.08.17	11:00:17.451	134.867	134.867			6
2022.08.17	11:00:17.572	134.868	134.868			6
2022.08.17	11:00:17.692	134.869	134.869			6
2022.08.17	11:00:17.798	134.868	134.868			6
2022.08.17	11:00:17.893	134.867	134.867			6
2022.08.17	11:00:18.097	134.866	134.866			6
2022.08.17	11:00:18.193	134.867	134.867			6
2022.08.17	11:00:18.301	134.868	134.868			6
2022.08.17	11:00:18.424	134.867	134.867			6
2022.08.17	11:00:18.550	134.868	134.868			6
2022.08.17	11:00:18.645	134.867	134.867			6
2022.08.17	11:00:18.848	134.868	134.868			6
2022.08.17	11:00:19.154	134.867	134.867			6
2022.08.17	11:00:19.275	134.868	134.868			6
2022.08.17	11:00:19.396	134.867	134.867			6
2022.08.17	11:00:19.692	134.868	134.868			6
2022.08.17	11:00:19.795	134.867	134.867			6
2022.08.17	11:00:20.134	134.868	134.868			6
2022.08.17	11:00:20.260	134.867	134.867			6
