Media Movel
Abertura; Desvio Padrao; Fechamento; Desvio Padrao; Alta; Desvio Padrao; Baixa; Desvio Padrao;
0,63378;0,03564;0,63123;0,02520;0,63341;0,04361;0,63422;0,05039;
0,63572;0,03564;0,63329;0,02520;0,63541;0,04361;0,63608;0,05039;
0,63761;0,03564;0,63531;0,02520;0,63735;0,04361;0,63795;0,05039;
0,63945;0,03564;0,63720;0,02520;0,63924;0,04361;0,63974;0,05039;
0,64119;0,03564;0,63901;0,02520;0,64098;0,04361;0,64143;0,05039;
0,64283;0,03564;0,64073;0,02520;0,64265;0,04361;0,64304;0,05039;
0,64441;0,03564;0,64239;0,02520;0,64425;0,04361;0,64460;0,05039;
0,64593;0,03564;0,64398;0,02520;0,64577;0,04361;0,64609;0,05039;
0,64738;0,03564;0,64553;0,02520;0,64725;0,04361;0,64753;0,05039;
0,64879;0,03564;0,64702;0,02520;0,64868;0,04361;0,64893;0,05039;
0,65015;0,03564;0,64847;0,02520;0,65009;0,04361;0,65028;0,05039;
0,65148;0,03564;0,64983;0,02520;0,65142;0,04361;0,65156;0,05039;
0,65273;0,03564;0,65111;0,02520;0,65268;0,04361;0,65277;0,05039;
0,65389;0,03564;0,65237;0,02520;0,65388;0,04361;0,65392;0,05039;
0,65505;0,03564;0,65356;0,02520;0,65503;0,04361;0,65503;0,05039;
0,65612;0,03564;0,65461;0,02520;0,65611;0,04361;0,65602;0,05039;
0,65707;0,03564;0,65554;0,02520;0,65706;0,04361;0,65688;0,05039;
0,65791;0,03564;0,65640;0,02520;0,65792;0,04361;0,65768;0,05039;
0,65868;0,03564;0,65727;0,02520;0,65873;0,04361;0,65846;0,05039;
0,65946;0,03564;0,65812;0,02520;0,65953;0,04361;0,65923;0,05039;
0,66022;0,03564;0,65895;0,02520;0,66032;0,04361;0,65999;0,05039;
0,66097;0,03564;0,65973;0,02520;0,66107;0,04361;0,66072;0,05039;
0,66167;0,03564;0,66046;0,02520;0,66177;0,04361;0,66141;0,05039;
0,66233;0,03564;0,66117;0,02520;0,66244;0,04361;0,66206;0,05039;
0,66296;0,03564;0,66183;0,02520;0,66307;0,04361;0,66267;0,05039;
0,66355;0,03564;0,66249;0,02520;0,66369;0,04361;0,66327;0,05039;
0,66415;0,03564;0,66316;0,02520;0,66432;0,04361;0,66387;0,05039;
0,66475;0,03564;0,66378;0,02520;0,66495;0,04361;0,66445;0,05039;
0,66530;0,03564;0,66438;0,02520;0,66552;0,04361;0,66500;0,05039;
0,66584;0,03564;0,66493;0,02520;0,66606;0,04361;0,66553;0,05039;
0,66634;0,03564;0,66549;0,02520;0,66660;0,04361;0,66604;0,05039;
0,66684;0,03564;0,66604;0,02520;0,66712;0,04361;0,66655;0,05039;
0,66734;0,03564;0,66655;0,02520;0,66761;0,04361;0,66703;0,05039;
0,66780;0,03564;0,66704;0,02520;0,66807;0,04361;0,66749;0,05039;
0,66824;0,03564;0,66751;0,02520;0,66852;0,04361;0,66794;0,05039;
0,66866;0,03564;0,66799;0,02520;0,66897;0,04361;0,66836;0,05039;
0,66909;0,03564;0,66840;0,02520;0,66939;0,04361;0,66876;0,05039;
0,66947;0,03564;0,66875;0,02520;0,66976;0,04361;0,66909;0,05039;
0,66977;0,03564;0,66905;0,02520;0,67007;0,04361;0,66938;0,05039;
0,67003;0,03564;0,66941;0,02520;0,67039;0,04361;0,66966;0,05039;
0,67035;0,03564;0,66979;0,02520;0,67075;0,04361;0,66998;0,05039;
0,67070;0,03564;0,67026;0,02520;0,67121;0,04361;0,67035;0,05039;
0,67113;0,03564;0,67067;0,02520;0,67163;0,04361;0,67072;0,05039;
0,67150;0,03564;0,67107;0,02520;0,67200;0,04361;0,67110;0,05039;
0,67188;0,03564;0,67142;0,02520;0,67236;0,04361;0,67144;0,05039;
0,67219;0,03564;0,67179;0,02520;0,67270;0,04361;0,67177;0,05039;
0,67253;0,03564;0,67215;0,02520;0,67303;0,04361;0,67212;0,05039;
0,67286;0,03564;0,67249;0,02520;0,67336;0,04361;0,67244;0,05039;
0,67316;0,03564;0,67278;0,02520;0,67365;0,04361;0,67270;0,05039;
0,67342;0,03564;0,67311;0,02520;0,67396;0,04361;0,67298;0,05039;
0,67373;0,03564;0,67342;0,02520;0,67428;0,04361;0,67330;0,05039;
0,67402;0,03564;0,67370;0,02520;0,67457;0,04361;0,67358;0,05039;
0,67428;0,03564;0,67396;0,02520;0,67482;0,04361;0,67384;0,05039;
0,67451;0,03564;0,67422;0,02520;0,67505;0,04361;0,67407;0,05039;
0,67475;0,03564;0,67446;0,02520;0,67527;0,04361;0,67430;0,05039;
0,67497;0,03564;0,67468;0,02520;0,67548;0,04361;0,67452;0,05039;
0,67517;0,03564;0,67490;0,02520;0,67568;0,04361;0,67474;0,05039;
0,67537;0,03564;0,67510;0,02520;0,67586;0,04361;0,67494;0,05039;
0,67555;0,03564;0,67531;0,02520;0,67606;0,04361;0,67512;0,05039;
0,67575;0,03564;0,67553;0,02520;0,67626;0,04361;0,67533;0,05039;
0,67594;0,03564;0,67574;0,02520;0,67646;0,04361;0,67553;0,05039;
0,67614;0,03564;0,67598;0,02520;0,67668;0,04361;0,67574;0,05039;
0,67636;0,03564;0,67619;0,02520;0,67690;0,04361;0,67596;0,05039;
0,67656;0,03564;0,67643;0,02520;0,67712;0,04361;0,67617;0,05039;
0,67678;0,03564;0,67669;0,02520;0,67737;0,04361;0,67640;0,05039;
0,67703;0,03564;0,67695;0,02520;0,67762;0,04361;0,67663;0,05039;
0,67727;0,03564;0,67716;0,02520;0,67784;0,04361;0,67684;0,05039;
0,67748;0,03564;0,67739;0,02520;0,67805;0,04361;0,67706;0,05039;
0,67770;0,03564;0,67759;0,02520;0,67825;0,04361;0,67726;0,05039;
0,67788;0,03564;0,67767;0,02520;0,67843;0,04361;0,67735;0,05039;
0,67794;0,03564;0,67773;0,02520;0,67848;0,04361;0,67741;0,05039;
0,67800;0,03564;0,67780;0,02520;0,67853;0,04361;0,67748;0,05039;
0,67805;0,03564;0,67786;0,02520;0,67858;0,04361;0,67754;0,05039;
