Media Movel
Abertura; Desvio Padrao; Fechamento; Desvio Padrao; Alta; Desvio Padrao; Baixa; Desvio Padrao;
0,68169;0,03564;0,68148;0,02520;0,68211;0,04361;0,68091;0,05039;
0,68148;0,03564;0,68130;0,02520;0,68194;0,04361;0,68076;0,05039;
0,68130;0,03564;0,68113;0,02520;0,68174;0,04361;0,68064;0,05039;
0,68113;0,03564;0,68089;0,02520;0,68156;0,04361;0,68044;0,05039;
0,68089;0,03564;0,68071;0,02520;0,68132;0,04361;0,68024;0,05039;
0,68071;0,03564;0,68052;0,02520;0,68115;0,04361;0,68006;0,05039;
0,68052;0,03564;0,68037;0,02520;0,68099;0,04361;0,67991;0,05039;
0,68037;0,03564;0,68023;0,02520;0,68085;0,04361;0,67976;0,05039;
0,68023;0,03564;0,68007;0,02520;0,68072;0,04361;0,67960;0,05039;
0,68007;0,03564;0,67990;0,02520;0,68056;0,04361;0,67943;0,05039;
0,67989;0,03564;0,67971;0,02520;0,68039;0,04361;0,67927;0,05039;
0,67971;0,03564;0,67954;0,02520;0,68020;0,04361;0,67908;0,05039;
0,67953;0,03564;0,67936;0,02520;0,68002;0,04361;0,67891;0,05039;
0,67935;0,03564;0,67914;0,02520;0,67984;0,04361;0,67870;0,05039;
0,67914;0,03564;0,67888;0,02520;0,67961;0,04361;0,67847;0,05039;
0,67887;0,03564;0,67870;0,02520;0,67941;0,04361;0,67824;0,05039;
0,67869;0,03564;0,67865;0,02520;0,67929;0,04361;0,67815;0,05039;
0,67865;0,03564;0,67879;0,02520;0,67938;0,04361;0,67820;0,05039;
0,67878;0,03564;0,67891;0,02520;0,67950;0,04361;0,67830;0,05039;
0,67890;0,03564;0,67901;0,02520;0,67959;0,04361;0,67841;0,05039;
0,67901;0,03564;0,67905;0,02520;0,67967;0,04361;0,67848;0,05039;
0,67905;0,03564;0,67911;0,02520;0,67973;0,04361;0,67853;0,05039;
0,67911;0,03564;0,67919;0,02520;0,67980;0,04361;0,67861;0,05039;
0,67919;0,03564;0,67929;0,02520;0,67990;0,04361;0,67869;0,05039;
0,67927;0,03564;0,67934;0,02520;0,67998;0,04361;0,67873;0,05039;
0,67932;0,03564;0,67947;0,02520;0,68010;0,04361;0,67882;0,05039;
0,67946;0,03564;0,67957;0,02520;0,68022;0,04361;0,67895;0,05039;
0,67955;0,03564;0,67961;0,02520;0,68031;0,04361;0,67903;0,05039;
0,67960;0,03564;0,67966;0,02520;0,68033;0,04361;0,67908;0,05039;
0,67965;0,03564;0,67973;0,02520;0,68037;0,04361;0,67913;0,05039;
0,67971;0,03564;0,67979;0,02520;0,68043;0,04361;0,67919;0,05039;
0,67978;0,03564;0,67984;0,02520;0,68047;0,04361;0,67925;0,05039;
0,67982;0,03564;0,67986;0,02520;0,68049;0,04361;0,67929;0,05039;
0,67985;0,03564;0,67990;0,02520;0,68052;0,04361;0,67933;0,05039;
0,67989;0,03564;0,67996;0,02520;0,68058;0,04361;0,67936;0,05039;
0,67995;0,03564;0,68003;0,02520;0,68064;0,04361;0,67942;0,05039;
0,68002;0,03564;0,68009;0,02520;0,68070;0,04361;0,67949;0,05039;
0,68007;0,03564;0,68021;0,02520;0,68080;0,04361;0,67959;0,05039;
0,68020;0,03564;0,68038;0,02520;0,68093;0,04361;0,67976;0,05039;
0,68037;0,03564;0,68061;0,02520;0,68113;0,04361;0,67994;0,05039;
0,68060;0,03564;0,68081;0,02520;0,68134;0,04361;0,68016;0,05039;
0,68080;0,03564;0,68097;0,02520;0,68150;0,04361;0,68034;0,05039;
0,68096;0,03564;0,68100;0,02520;0,68154;0,04361;0,68045;0,05039;
0,68099;0,03564;0,68110;0,02520;0,68159;0,04361;0,68055;0,05039;
0,68109;0,03564;0,68115;0,02520;0,68167;0,04361;0,68063;0,05039;
0,68114;0,03564;0,68114;0,02520;0,68174;0,04361;0,68062;0,05039;
0,68112;0,03564;0,68107;0,02520;0,68169;0,04361;0,68058;0,05039;
0,68106;0,03564;0,68102;0,02520;0,68163;0,04361;0,68051;0,05039;
0,68100;0,03564;0,68096;0,02520;0,68157;0,04361;0,68047;0,05039;
0,68095;0,03564;0,68093;0,02520;0,68152;0,04361;0,68046;0,05039;
0,68092;0,03564;0,68084;0,02520;0,68143;0,04361;0,68040;0,05039;
0,68082;0,03564;0,68076;0,02520;0,68132;0,04361;0,68028;0,05039;
0,68075;0,03564;0,68065;0,02520;0,68121;0,04361;0,68016;0,05039;
0,68064;0,03564;0,68052;0,02520;0,68110;0,04361;0,68002;0,05039;
0,68050;0,03564;0,68032;0,02520;0,68095;0,04361;0,67986;0,05039;
0,68031;0,03564;0,68013;0,02520;0,68076;0,04361;0,67966;0,05039;
0,68012;0,03564;0,67989;0,02520;0,68055;0,04361;0,67943;0,05039;
0,67988;0,03564;0,67964;0,02520;0,68031;0,04361;0,67918;0,05039;
0,67962;0,03564;0,67941;0,02520;0,68008;0,04361;0,67892;0,05039;
0,67939;0,03564;0,67917;0,02520;0,67984;0,04361;0,67869;0,05039;
0,67916;0,03564;0,67900;0,02520;0,67966;0,04361;0,67845;0,05039;
0,67899;0,03564;0,67880;0,02520;0,67947;0,04361;0,67827;0,05039;
0,67879;0,03564;0,67855;0,02520;0,67924;0,04361;0,67805;0,05039;
0,67854;0,03564;0,67828;0,02520;0,67898;0,04361;0,67778;0,05039;
0,67827;0,03564;0,67797;0,02520;0,67875;0,04361;0,67749;0,05039;
0,67797;0,03564;0,67762;0,02520;0,67842;0,04361;0,67714;0,05039;
0,67762;0,03564;0,67728;0,02520;0,67808;0,04361;0,67682;0,05039;
0,67728;0,03564;0,67698;0,02520;0,67777;0,04361;0,67651;0,05039;
0,67698;0,03564;0,67663;0,02520;0,67745;0,04361;0,67617;0,05039;
0,67663;0,03564;0,67630;0,02520;0,67711;0,04361;0,67584;0,05039;
0,67630;0,03564;0,67610;0,02520;0,67679;0,04361;0,67562;0,05039;
0,67609;0,03564;0,67591;0,02520;0,67660;0,04361;0,67543;0,05039;
0,67590;0,03564;0,67570;0,02520;0,67639;0,04361;0,67521;0,05039;
0,67570;0,03564;0,67549;0,02520;0,67619;0,04361;0,67500;0,05039;
0,67549;0,03564;0,67530;0,02520;0,67599;0,04361;0,67480;0,05039;
0,67530;0,03564;0,67516;0,02520;0,67583;0,04361;0,67464;0,05039;
0,67516;0,03564;0,67500;0,02520;0,67568;0,04361;0,67451;0,05039;
0,67500;0,03564;0,67490;0,02520;0,67554;0,04361;0,67440;0,05039;
0,67490;0,03564;0,67484;0,02520;0,67544;0,04361;0,67433;0,05039;
0,67484;0,03564;0,67481;0,02520;0,67537;0,04361;0,67430;0,05039;
0,67482;0,03564;0,67481;0,02520;0,67536;0,04361;0,67429;0,05039;
0,67481;0,03564;0,67484;0,02520;0,67535;0,04361;0,67431;0,05039;
0,67484;0,03564;0,67489;0,02520;0,67538;0,04361;0,67432;0,05039;
0,67489;0,03564;0,67492;0,02520;0,67541;0,04361;0,67437;0,05039;
0,67492;0,03564;0,67495;0,02520;0,67544;0,04361;0,67442;0,05039;
0,67495;0,03564;0,67489;0,02520;0,67538;0,04361;0,67443;0,05039;
0,67489;0,03564;0,67484;0,02520;0,67533;0,04361;0,67437;0,05039;
0,67484;0,03564;0,67478;0,02520;0,67534;0,04361;0,67430;0,05039;
0,67478;0,03564;0,67486;0,02520;0,67537;0,04361;0,67428;0,05039;
0,67486;0,03564;0,67490;0,02520;0,67539;0,04361;0,67431;0,05039;
0,67488;0,03564;0,67504;0,02520;0,67549;0,04361;0,67439;0,05039;
0,67502;0,03564;0,67514;0,02520;0,67559;0,04361;0,67450;0,05039;
0,67512;0,03564;0,67523;0,02520;0,67568;0,04361;0,67461;0,05039;
0,67522;0,03564;0,67536;0,02520;0,67580;0,04361;0,67474;0,05039;
0,67535;0,03564;0,67550;0,02520;0,67592;0,04361;0,67487;0,05039;
0,67549;0,03564;0,67562;0,02520;0,67603;0,04361;0,67500;0,05039;
0,67560;0,03564;0,67571;0,02520;0,67615;0,04361;0,67509;0,05039;
0,67570;0,03564;0,67583;0,02520;0,67628;0,04361;0,67521;0,05039;
0,67582;0,03564;0,67598;0,02520;0,67641;0,04361;0,67535;0,05039;
0,67597;0,03564;0,67611;0,02520;0,67653;0,04361;0,67548;0,05039;
0,67610;0,03564;0,67619;0,02520;0,67664;0,04361;0,67559;0,05039;
0,67618;0,03564;0,67626;0,02520;0,67672;0,04361;0,67568;0,05039;
0,67625;0,03564;0,67632;0,02520;0,67680;0,04361;0,67576;0,05039;
0,67631;0,03564;0,67639;0,02520;0,67686;0,04361;0,67584;0,05039;
0,67638;0,03564;0,67647;0,02520;0,67694;0,04361;0,67591;0,05039;
0,67645;0,03564;0,67658;0,02520;0,67705;0,04361;0,67600;0,05039;
0,67657;0,03564;0,67666;0,02520;0,67716;0,04361;0,67605;0,05039;
0,67665;0,03564;0,67674;0,02520;0,67726;0,04361;0,67617;0,05039;
0,67672;0,03564;0,67682;0,02520;0,67736;0,04361;0,67625;0,05039;
0,67681;0,03564;0,67689;0,02520;0,67744;0,04361;0,67632;0,05039;
0,67687;0,03564;0,67690;0,02520;0,67750;0,04361;0,67635;0,05039;
0,67689;0,03564;0,67690;0,02520;0,67752;0,04361;0,67635;0,05039;
0,67689;0,03564;0,67689;0,02520;0,67745;0,04361;0,67636;0,05039;
0,67688;0,03564;0,67682;0,02520;0,67737;0,04361;0,67634;0,05039;
0,67681;0,03564;0,67681;0,02520;0,67733;0,04361;0,67631;0,05039;
0,67679;0,03564;0,67669;0,02520;0,67724;0,04361;0,67629;0,05039;
0,67668;0,03564;0,67662;0,02520;0,67715;0,04361;0,67621;0,05039;
0,67661;0,03564;0,67654;0,02520;0,67707;0,04361;0,67612;0,05039;
0,67653;0,03564;0,67649;0,02520;0,67701;0,04361;0,67603;0,05039;
0,67648;0,03564;0,67644;0,02520;0,67698;0,04361;0,67597;0,05039;
0,67641;0,03564;0,67636;0,02520;0,67692;0,04361;0,67587;0,05039;
0,67635;0,03564;0,67635;0,02520;0,67687;0,04361;0,67584;0,05039;
0,67633;0,03564;0,67632;0,02520;0,67684;0,04361;0,67582;0,05039;
0,67631;0,03564;0,67626;0,02520;0,67680;0,04361;0,67575;0,05039;
0,67625;0,03564;0,67623;0,02520;0,67677;0,04361;0,67570;0,05039;
0,67622;0,03564;0,67622;0,02520;0,67674;0,04361;0,67568;0,05039;
0,67620;0,03564;0,67621;0,02520;0,67673;0,04361;0,67566;0,05039;
0,67620;0,03564;0,67621;0,02520;0,67671;0,04361;0,67565;0,05039;
0,67620;0,03564;0,67617;0,02520;0,67672;0,04361;0,67560;0,05039;
0,67616;0,03564;0,67616;0,02520;0,67671;0,04361;0,67557;0,05039;
0,67615;0,03564;0,67613;0,02520;0,67669;0,04361;0,67555;0,05039;
0,67611;0,03564;0,67614;0,02520;0,67669;0,04361;0,67561;0,05039;
0,67613;0,03564;0,67612;0,02520;0,67669;0,04361;0,67558;0,05039;
0,67611;0,03564;0,67607;0,02520;0,67664;0,04361;0,67555;0,05039;
0,67606;0,03564;0,67602;0,02520;0,67660;0,04361;0,67550;0,05039;
0,67601;0,03564;0,67600;0,02520;0,67657;0,04361;0,67548;0,05039;
0,67599;0,03564;0,67600;0,02520;0,67654;0,04361;0,67546;0,05039;
0,67599;0,03564;0,67607;0,02520;0,67659;0,04361;0,67549;0,05039;
0,67606;0,03564;0,67617;0,02520;0,67670;0,04361;0,67558;0,05039;
0,67616;0,03564;0,67625;0,02520;0,67678;0,04361;0,67568;0,05039;
0,67624;0,03564;0,67641;0,02520;0,67691;0,04361;0,67577;0,05039;
0,67640;0,03564;0,67652;0,02520;0,67704;0,04361;0,67591;0,05039;
0,67651;0,03564;0,67663;0,02520;0,67716;0,04361;0,67604;0,05039;
0,67662;0,03564;0,67672;0,02520;0,67724;0,04361;0,67616;0,05039;
0,67670;0,03564;0,67679;0,02520;0,67730;0,04361;0,67625;0,05039;
0,67678;0,03564;0,67690;0,02520;0,67742;0,04361;0,67637;0,05039;
0,67689;0,03564;0,67699;0,02520;0,67752;0,04361;0,67647;0,05039;
0,67697;0,03564;0,67704;0,02520;0,67758;0,04361;0,67654;0,05039;
0,67703;0,03564;0,67715;0,02520;0,67765;0,04361;0,67665;0,05039;
