Media Movel
Abertura; Desvio Padrao; Fechamento; Desvio Padrao; Alta; Desvio Padrao; Baixa; Desvio Padrao;
0,64007;0,03564;0,63582;0,02520;0,63954;0,04361;0,64045;0,05039;
0,64418;0,03564;0,64039;0,02520;0,64382;0,04361;0,64437;0,05039;
0,64796;0,03564;0,64461;0,02520;0,64772;0,04361;0,64813;0,05039;
0,65146;0,03564;0,64834;0,02520;0,65133;0,04361;0,65150;0,05039;
0,65453;0,03564;0,65165;0,02520;0,65442;0,04361;0,65450;0,05039;
0,65726;0,03564;0,65465;0,02520;0,65719;0,04361;0,65715;0,05039;
0,65972;0,03564;0,65735;0,02520;0,65968;0,04361;0,65959;0,05039;
0,66194;0,03564;0,65978;0,02520;0,66191;0,04361;0,66180;0,05039;
0,66394;0,03564;0,66204;0,02520;0,66397;0,04361;0,66380;0,05039;
0,66579;0,03564;0,66408;0,02520;0,66584;0,04361;0,66563;0,05039;
0,66748;0,03564;0,66599;0,02520;0,66762;0,04361;0,66732;0,05039;
0,66906;0,03564;0,66762;0,02520;0,66920;0,04361;0,66881;0,05039;
0,67040;0,03564;0,66904;0,02520;0,67056;0,04361;0,67011;0,05039;
0,67156;0,03564;0,67039;0,02520;0,67177;0,04361;0,67126;0,05039;
0,67267;0,03564;0,67155;0,02520;0,67287;0,04361;0,67230;0,05039;
0,67361;0,03564;0,67239;0,02520;0,67379;0,04361;0,67306;0,05039;
0,67425;0,03564;0,67295;0,02520;0,67441;0,04361;0,67351;0,05039;
0,67464;0,03564;0,67339;0,02520;0,67483;0,04361;0,67389;0,05039;
0,67492;0,03564;0,67388;0,02520;0,67521;0,04361;0,67422;0,05039;
0,67526;0,03564;0,67437;0,02520;0,67558;0,04361;0,67461;0,05039;
0,67562;0,03564;0,67485;0,02520;0,67596;0,04361;0,67498;0,05039;
0,67598;0,03564;0,67522;0,02520;0,67629;0,04361;0,67534;0,05039;
0,67625;0,03564;0,67552;0,02520;0,67654;0,04361;0,67561;0,05039;
0,67645;0,03564;0,67581;0,02520;0,67676;0,04361;0,67585;0,05039;
0,67665;0,03564;0,67601;0,02520;0,67693;0,04361;0,67601;0,05039;
0,67677;0,03564;0,67627;0,02520;0,67713;0,04361;0,67619;0,05039;
0,67696;0,03564;0,67658;0,02520;0,67736;0,04361;0,67642;0,05039;
0,67720;0,03564;0,67680;0,02520;0,67765;0,04361;0,67663;0,05039;
0,67736;0,03564;0,67702;0,02520;0,67784;0,04361;0,67682;0,05039;
0,67752;0,03564;0,67717;0,02520;0,67797;0,04361;0,67698;0,05039;
0,67763;0,03564;0,67735;0,02520;0,67814;0,04361;0,67713;0,05039;
0,67777;0,03564;0,67757;0,02520;0,67830;0,04361;0,67731;0,05039;
0,67794;0,03564;0,67770;0,02520;0,67844;0,04361;0,67745;0,05039;
0,67803;0,03564;0,67783;0,02520;0,67853;0,04361;0,67757;0,05039;
0,67814;0,03564;0,67794;0,02520;0,67863;0,04361;0,67770;0,05039;
0,67821;0,03564;0,67810;0,02520;0,67874;0,04361;0,67780;0,05039;
0,67835;0,03564;0,67815;0,02520;0,67883;0,04361;0,67788;0,05039;
0,67838;0,03564;0,67806;0,02520;0,67884;0,04361;0,67781;0,05039;
0,67826;0,03564;0,67792;0,02520;0,67873;0,04361;0,67768;0,05039;
0,67810;0,03564;0,67793;0,02520;0,67867;0,04361;0,67756;0,05039;
0,67810;0,03564;0,67806;0,02520;0,67876;0,04361;0,67760;0,05039;
0,67821;0,03564;0,67840;0,02520;0,67911;0,04361;0,67775;0,05039;
0,67854;0,03564;0,67861;0,02520;0,67937;0,04361;0,67796;0,05039;
0,67874;0,03564;0,67885;0,02520;0,67955;0,04361;0,67818;0,05039;
0,67896;0,03564;0,67895;0,02520;0,67969;0,04361;0,67834;0,05039;
0,67905;0,03564;0,67914;0,02520;0,67982;0,04361;0,67848;0,05039;
0,67923;0,03564;0,67930;0,02520;0,67996;0,04361;0,67870;0,05039;
0,67938;0,03564;0,67944;0,02520;0,68009;0,04361;0,67884;0,05039;
0,67948;0,03564;0,67948;0,02520;0,68015;0,04361;0,67885;0,05039;
0,67952;0,03564;0,67965;0,02520;0,68029;0,04361;0,67895;0,05039;
0,67968;0,03564;0,67979;0,02520;0,68045;0,04361;0,67916;0,05039;
0,67982;0,03564;0,67987;0,02520;0,68058;0,04361;0,67929;0,05039;
0,67989;0,03564;0,67990;0,02520;0,68060;0,04361;0,67937;0,05039;
0,67992;0,03564;0,67998;0,02520;0,68062;0,04361;0,67940;0,05039;
0,68000;0,03564;0,68000;0,02520;0,68063;0,04361;0,67946;0,05039;
0,68002;0,03564;0,68002;0,02520;0,68062;0,04361;0,67951;0,05039;
0,68004;0,03564;0,68004;0,02520;0,68062;0,04361;0,67956;0,05039;
0,68006;0,03564;0,68003;0,02520;0,68060;0,04361;0,67958;0,05039;
0,68005;0,03564;0,68008;0,02520;0,68062;0,04361;0,67957;0,05039;
0,68010;0,03564;0,68015;0,02520;0,68068;0,04361;0,67966;0,05039;
0,68016;0,03564;0,68022;0,02520;0,68074;0,04361;0,67974;0,05039;
0,68024;0,03564;0,68037;0,02520;0,68087;0,04361;0,67986;0,05039;
0,68038;0,03564;0,68048;0,02520;0,68100;0,04361;0,68000;0,05039;
0,68049;0,03564;0,68064;0,02520;0,68114;0,04361;0,68011;0,05039;
0,68065;0,03564;0,68088;0,02520;0,68137;0,04361;0,68029;0,05039;
0,68089;0,03564;0,68110;0,02520;0,68159;0,04361;0,68048;0,05039;
0,68110;0,03564;0,68123;0,02520;0,68175;0,04361;0,68063;0,05039;
0,68124;0,03564;0,68140;0,02520;0,68188;0,04361;0,68080;0,05039;
0,68141;0,03564;0,68150;0,02520;0,68201;0,04361;0,68094;0,05039;
0,68151;0,03564;0,68131;0,02520;0,68208;0,04361;0,68080;0,05039;
0,68132;0,03564;0,68112;0,02520;0,68186;0,04361;0,68063;0,05039;
0,68113;0,03564;0,68097;0,02520;0,68167;0,04361;0,68048;0,05039;
0,68095;0,03564;0,68081;0,02520;0,68148;0,04361;0,68033;0,05039;
0,68078;0,03564;0,68065;0,02520;0,68130;0,04361;0,68019;0,05039;
0,68063;0,03564;0,68048;0,02520;0,68111;0,04361;0,68003;0,05039;
0,68046;0,03564;0,68035;0,02520;0,68094;0,04361;0,67983;0,05039;
0,68034;0,03564;0,68013;0,02520;0,68077;0,04361;0,67961;0,05039;
0,68011;0,03564;0,67981;0,02520;0,68050;0,04361;0,67933;0,05039;
0,67980;0,03564;0,67944;0,02520;0,68017;0,04361;0,67900;0,05039;
0,67943;0,03564;0,67905;0,02520;0,67977;0,04361;0,67862;0,05039;
0,67904;0,03564;0,67859;0,02520;0,67935;0,04361;0,67820;0,05039;
0,67858;0,03564;0,67814;0,02520;0,67890;0,04361;0,67777;0,05039;
0,67813;0,03564;0,67777;0,02520;0,67848;0,04361;0,67735;0,05039;
0,67776;0,03564;0,67746;0,02520;0,67813;0,04361;0,67701;0,05039;
0,67746;0,03564;0,67738;0,02520;0,67801;0,04361;0,67677;0,05039;
0,67738;0,03564;0,67725;0,02520;0,67788;0,04361;0,67669;0,05039;
0,67724;0,03564;0,67709;0,02520;0,67772;0,04361;0,67656;0,05039;
0,67708;0,03564;0,67685;0,02520;0,67755;0,04361;0,67638;0,05039;
0,67685;0,03564;0,67663;0,02520;0,67746;0,04361;0,67616;0,05039;
0,67666;0,03564;0,67641;0,02520;0,67725;0,04361;0,67589;0,05039;
0,67644;0,03564;0,67625;0,02520;0,67705;0,04361;0,67571;0,05039;
0,67628;0,03564;0,67613;0,02520;0,67690;0,04361;0,67559;0,05039;
0,67614;0,03564;0,67596;0,02520;0,67674;0,04361;0,67543;0,05039;
0,67598;0,03564;0,67578;0,02520;0,67656;0,04361;0,67529;0,05039;
0,67579;0,03564;0,67565;0,02520;0,67637;0,04361;0,67517;0,05039;
0,67566;0,03564;0,67557;0,02520;0,67624;0,04361;0,67507;0,05039;
0,67555;0,03564;0,67545;0,02520;0,67609;0,04361;0,67493;0,05039;
