Media Movel
Abertura; Desvio Padrao; Fechamento; Desvio Padrao; Alta; Desvio Padrao; Baixa; Desvio Padrao;
0,67931;0,03564;0,67924;0,02520;0,67987;0,04361;0,67869;0,05039;
0,67923;0,03564;0,67916;0,02520;0,67979;0,04361;0,67862;0,05039;
0,67915;0,03564;0,67907;0,02520;0,67970;0,04361;0,67856;0,05039;
0,67907;0,03564;0,67898;0,02520;0,67961;0,04361;0,67847;0,05039;
0,67897;0,03564;0,67889;0,02520;0,67950;0,04361;0,67838;0,05039;
0,67889;0,03564;0,67881;0,02520;0,67942;0,04361;0,67830;0,05039;
0,67881;0,03564;0,67873;0,02520;0,67934;0,04361;0,67822;0,05039;
0,67873;0,03564;0,67865;0,02520;0,67926;0,04361;0,67814;0,05039;
0,67865;0,03564;0,67858;0,02520;0,67918;0,04361;0,67806;0,05039;
0,67857;0,03564;0,67849;0,02520;0,67910;0,04361;0,67798;0,05039;
0,67849;0,03564;0,67841;0,02520;0,67902;0,04361;0,67789;0,05039;
0,67840;0,03564;0,67832;0,02520;0,67893;0,04361;0,67781;0,05039;
0,67831;0,03564;0,67823;0,02520;0,67885;0,04361;0,67771;0,05039;
0,67822;0,03564;0,67817;0,02520;0,67878;0,04361;0,67763;0,05039;
0,67816;0,03564;0,67809;0,02520;0,67872;0,04361;0,67755;0,05039;
0,67808;0,03564;0,67804;0,02520;0,67866;0,04361;0,67749;0,05039;
0,67803;0,03564;0,67801;0,02520;0,67862;0,04361;0,67745;0,05039;
0,67800;0,03564;0,67800;0,02520;0,67859;0,04361;0,67744;0,05039;
0,67799;0,03564;0,67800;0,02520;0,67858;0,04361;0,67744;0,05039;
0,67799;0,03564;0,67799;0,02520;0,67857;0,04361;0,67744;0,05039;
0,67798;0,03564;0,67798;0,02520;0,67856;0,04361;0,67743;0,05039;
0,67797;0,03564;0,67795;0,02520;0,67854;0,04361;0,67741;0,05039;
0,67794;0,03564;0,67794;0,02520;0,67853;0,04361;0,67739;0,05039;
0,67793;0,03564;0,67793;0,02520;0,67852;0,04361;0,67738;0,05039;
0,67792;0,03564;0,67792;0,02520;0,67851;0,04361;0,67737;0,05039;
0,67791;0,03564;0,67791;0,02520;0,67850;0,04361;0,67736;0,05039;
0,67790;0,03564;0,67790;0,02520;0,67849;0,04361;0,67735;0,05039;
0,67789;0,03564;0,67787;0,02520;0,67846;0,04361;0,67734;0,05039;
0,67786;0,03564;0,67785;0,02520;0,67843;0,04361;0,67732;0,05039;
0,67784;0,03564;0,67783;0,02520;0,67841;0,04361;0,67730;0,05039;
0,67782;0,03564;0,67783;0,02520;0,67840;0,04361;0,67729;0,05039;
0,67782;0,03564;0,67781;0,02520;0,67838;0,04361;0,67726;0,05039;
0,67780;0,03564;0,67778;0,02520;0,67836;0,04361;0,67724;0,05039;
0,67777;0,03564;0,67776;0,02520;0,67834;0,04361;0,67722;0,05039;
0,67776;0,03564;0,67774;0,02520;0,67832;0,04361;0,67720;0,05039;
0,67773;0,03564;0,67771;0,02520;0,67830;0,04361;0,67716;0,05039;
0,67770;0,03564;0,67766;0,02520;0,67826;0,04361;0,67712;0,05039;
0,67765;0,03564;0,67761;0,02520;0,67821;0,04361;0,67707;0,05039;
0,67760;0,03564;0,67758;0,02520;0,67817;0,04361;0,67704;0,05039;
0,67757;0,03564;0,67757;0,02520;0,67815;0,04361;0,67701;0,05039;
0,67756;0,03564;0,67754;0,02520;0,67812;0,04361;0,67700;0,05039;
0,67753;0,03564;0,67750;0,02520;0,67808;0,04361;0,67697;0,05039;
0,67749;0,03564;0,67744;0,02520;0,67801;0,04361;0,67692;0,05039;
0,67743;0,03564;0,67740;0,02520;0,67796;0,04361;0,67687;0,05039;
0,67739;0,03564;0,67735;0,02520;0,67792;0,04361;0,67683;0,05039;
0,67734;0,03564;0,67730;0,02520;0,67787;0,04361;0,67678;0,05039;
0,67729;0,03564;0,67726;0,02520;0,67782;0,04361;0,67673;0,05039;
0,67725;0,03564;0,67722;0,02520;0,67779;0,04361;0,67669;0,05039;
0,67721;0,03564;0,67717;0,02520;0,67774;0,04361;0,67664;0,05039;
0,67716;0,03564;0,67714;0,02520;0,67770;0,04361;0,67661;0,05039;
0,67713;0,03564;0,67710;0,02520;0,67766;0,04361;0,67658;0,05039;
0,67709;0,03564;0,67706;0,02520;0,67761;0,04361;0,67653;0,05039;
0,67705;0,03564;0,67702;0,02520;0,67757;0,04361;0,67649;0,05039;
0,67701;0,03564;0,67698;0,02520;0,67753;0,04361;0,67645;0,05039;
0,67697;0,03564;0,67694;0,02520;0,67749;0,04361;0,67641;0,05039;
0,67693;0,03564;0,67691;0,02520;0,67746;0,04361;0,67638;0,05039;
0,67690;0,03564;0,67688;0,02520;0,67744;0,04361;0,67635;0,05039;
0,67687;0,03564;0,67684;0,02520;0,67741;0,04361;0,67631;0,05039;
0,67684;0,03564;0,67681;0,02520;0,67737;0,04361;0,67627;0,05039;
0,67680;0,03564;0,67676;0,02520;0,67733;0,04361;0,67623;0,05039;
0,67675;0,03564;0,67670;0,02520;0,67728;0,04361;0,67618;0,05039;
0,67669;0,03564;0,67664;0,02520;0,67722;0,04361;0,67611;0,05039;
0,67663;0,03564;0,67658;0,02520;0,67716;0,04361;0,67605;0,05039;
0,67657;0,03564;0,67653;0,02520;0,67711;0,04361;0,67599;0,05039;
0,67652;0,03564;0,67648;0,02520;0,67706;0,04361;0,67595;0,05039;
0,67647;0,03564;0,67644;0,02520;0,67701;0,04361;0,67590;0,05039;
0,67643;0,03564;0,67639;0,02520;0,67697;0,04361;0,67586;0,05039;
0,67638;0,03564;0,67635;0,02520;0,67692;0,04361;0,67582;0,05039;
0,67634;0,03564;0,67630;0,02520;0,67687;0,04361;0,67578;0,05039;
0,67629;0,03564;0,67626;0,02520;0,67683;0,04361;0,67573;0,05039;
0,67625;0,03564;0,67624;0,02520;0,67679;0,04361;0,67572;0,05039;
0,67623;0,03564;0,67624;0,02520;0,67678;0,04361;0,67571;0,05039;
0,67623;0,03564;0,67623;0,02520;0,67677;0,04361;0,67570;0,05039;
0,67622;0,03564;0,67622;0,02520;0,67676;0,04361;0,67569;0,05039;
0,67621;0,03564;0,67622;0,02520;0,67676;0,04361;0,67569;0,05039;
0,67621;0,03564;0,67622;0,02520;0,67676;0,04361;0,67569;0,05039;
0,67621;0,03564;0,67622;0,02520;0,67676;0,04361;0,67570;0,05039;
0,67621;0,03564;0,67623;0,02520;0,67676;0,04361;0,67571;0,05039;
0,67622;0,03564;0,67624;0,02520;0,67677;0,04361;0,67572;0,05039;
0,67623;0,03564;0,67626;0,02520;0,67679;0,04361;0,67574;0,05039;
0,67626;0,03564;0,67629;0,02520;0,67681;0,04361;0,67577;0,05039;
0,67628;0,03564;0,67633;0,02520;0,67684;0,04361;0,67580;0,05039;
0,67632;0,03564;0,67637;0,02520;0,67688;0,04361;0,67584;0,05039;
0,67636;0,03564;0,67640;0,02520;0,67691;0,04361;0,67588;0,05039;
0,67639;0,03564;0,67647;0,02520;0,67698;0,04361;0,67592;0,05039;
0,67646;0,03564;0,67653;0,02520;0,67704;0,04361;0,67598;0,05039;
0,67652;0,03564;0,67661;0,02520;0,67712;0,04361;0,67605;0,05039;
0,67660;0,03564;0,67670;0,02520;0,67720;0,04361;0,67613;0,05039;
0,67669;0,03564;0,67681;0,02520;0,67730;0,04361;0,67623;0,05039;
0,67680;0,03564;0,67690;0,02520;0,67738;0,04361;0,67633;0,05039;
0,67689;0,03564;0,67701;0,02520;0,67748;0,04361;0,67644;0,05039;
0,67700;0,03564;0,67712;0,02520;0,67759;0,04361;0,67654;0,05039;
0,67711;0,03564;0,67722;0,02520;0,67769;0,04361;0,67664;0,05039;
0,67720;0,03564;0,67732;0,02520;0,67778;0,04361;0,67673;0,05039;
0,67730;0,03564;0,67742;0,02520;0,67789;0,04361;0,67684;0,05039;
0,67740;0,03564;0,67753;0,02520;0,67800;0,04361;0,67694;0,05039;
0,67751;0,03564;0,67763;0,02520;0,67810;0,04361;0,67704;0,05039;
0,67761;0,03564;0,67774;0,02520;0,67821;0,04361;0,67715;0,05039;
0,67773;0,03564;0,67786;0,02520;0,67832;0,04361;0,67726;0,05039;
0,67784;0,03564;0,67797;0,02520;0,67844;0,04361;0,67738;0,05039;
0,67796;0,03564;0,67807;0,02520;0,67855;0,04361;0,67749;0,05039;
0,67806;0,03564;0,67818;0,02520;0,67865;0,04361;0,67759;0,05039;
0,67816;0,03564;0,67829;0,02520;0,67876;0,04361;0,67770;0,05039;
0,67828;0,03564;0,67842;0,02520;0,67889;0,04361;0,67782;0,05039;
0,67840;0,03564;0,67854;0,02520;0,67902;0,04361;0,67794;0,05039;
0,67853;0,03564;0,67867;0,02520;0,67915;0,04361;0,67807;0,05039;
0,67866;0,03564;0,67880;0,02520;0,67928;0,04361;0,67820;0,05039;
0,67878;0,03564;0,67892;0,02520;0,67941;0,04361;0,67832;0,05039;
0,67890;0,03564;0,67905;0,02520;0,67954;0,04361;0,67845;0,05039;
0,67904;0,03564;0,67918;0,02520;0,67967;0,04361;0,67858;0,05039;
0,67917;0,03564;0,67931;0,02520;0,67980;0,04361;0,67871;0,05039;
0,67930;0,03564;0,67944;0,02520;0,67994;0,04361;0,67884;0,05039;
0,67943;0,03564;0,67958;0,02520;0,68005;0,04361;0,67897;0,05039;
0,67957;0,03564;0,67969;0,02520;0,68016;0,04361;0,67910;0,05039;
0,67967;0,03564;0,67980;0,02520;0,68027;0,04361;0,67922;0,05039;
0,67979;0,03564;0,67988;0,02520;0,68036;0,04361;0,67932;0,05039;
0,67987;0,03564;0,67997;0,02520;0,68045;0,04361;0,67941;0,05039;
0,67996;0,03564;0,68006;0,02520;0,68054;0,04361;0,67950;0,05039;
0,68004;0,03564;0,68014;0,02520;0,68062;0,04361;0,67958;0,05039;
0,68013;0,03564;0,68022;0,02520;0,68070;0,04361;0,67966;0,05039;
0,68021;0,03564;0,68030;0,02520;0,68079;0,04361;0,67974;0,05039;
0,68029;0,03564;0,68039;0,02520;0,68087;0,04361;0,67983;0,05039;
